pointid,grid_code,Latitude_DD,Longitude_DD
64039,-2186,17.909418660000000,-64.122627320000007
64040,-2245,17.909443459999999,-64.118321359999996
64041,-2271,17.909468149999999,-64.114015390000006
64042,-2252,17.909492759999999,-64.109709409999994
64043,-2212,17.909517260000001,-64.105403429999996
64044,-2180,17.909541680000000,-64.101097440000004
64045,-2159,17.909565990000001,-64.096791440000004
64046,-2126,17.909590219999998,-64.092485440000004
64047,-2073,17.909614340000001,-64.088179429999997
64048,-2025,17.909638380000001,-64.083873409999995
64049,-1988,17.909662310000002,-64.079567380000000
64050,-1933,17.909686149999999,-64.075261350000005
64051,-1836,17.909709899999999,-64.070955310000002
64052,-1712,17.909733549999999,-64.066649269999999
64053,-1600,17.909757110000001,-64.062343220000002
